unique_id,age,gender,bfi_e_mean,bfi_c_mean,bfi_n_mean,bfi_a_mean,bfi_o_mean,bfi_a2,bfi_a4,bfi_a5,bfi_a7,bfi_a9,bfi_c1,bfi_c3,bfi_c6,bfi_c7,bfi_c8,bfi_e1,bfi_e3,bfi_e4,bfi_e6,bfi_e8,bfi_n1,bfi_n3,bfi_n4,bfi_n6,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o8,bfi_e2_rev,bfi_e5_rev,bfi_e7_rev,bfi_c2_rev,bfi_c4_rev,bfi_c5_rev,bfi_c9_rev,bfi_n2_rev,bfi_n5_rev,bfi_n7_rev,bfi_a1_rev,bfi_a3_rev,bfi_a6_rev,bfi_a8_rev,bfi_o7_rev,bfi_o9_rev,exclude_bfi_logical_scores,exclude_bfi_completeness,iat_mean1,iat_mean2,iat_SD,iat_D,exclude_iat_performance,exclude_iat_completeness,exclude_participant_without_iat,exclude_participant_without_bfi,exclude_unique_id_is.na,exclude_participant
228671,18,f,NA,NA,NA,5.333333333333333,4.9,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,6,5,6,include,include,1062.6500000000003,728.5875,698.9842125125123,-0.47792567274045605,include,include,include,include,include,include
232178,27,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,5,2,4,2,NA,5,4,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,3,3,2,5,6,5,NA,NA,NA,NA,NA,NA,include,exclude,840.9,755.6625,242.99231106208723,-0.35078270430631375,include,include,include,exclude,include,exclude
232474,30,m,NA,NA,NA,4.222222222222222,5.9,6,4,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,6,6,include,include,725.575,713.1875,310.6709189608116,-0.03987338126605477,include,include,include,include,include,include
233978,44,m,4,5,2.5,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,4,5,4,5,6,2,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,6,3,6,3,2,1,2,NA,NA,NA,NA,NA,NA,include,include,830.225,718.6125,199.05845530258435,-0.560702130589431,include,include,include,include,include,include
235367,21,m,NA,NA,NA,2.3333333333333335,5.2,2,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,4,6,include,include,1221.675,1315.3,859.4798993629599,0.10893215777285094,include,include,include,include,include,include
238241,51,f,NA,NA,NA,4.555555555555555,4.6,5,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2,1,3,5,include,include,1122.825,863.9500000000002,413.42772926465636,-0.6261674814615076,include,include,include,include,include,include
239346,20,f,5.25,5.333333333333333,4,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,6,6,5,5,4,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,4,5,4,4,4,NA,NA,NA,NA,NA,NA,include,include,798.625,773.45,292.5951973457594,-0.08604037328148857,include,include,include,include,include,include
241587,41,f,NA,NA,NA,4.111111111111111,5.1,5,4,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,3,4,5,include,include,1903.3999999999996,800.075,1961.4038774786386,-0.5625180069585214,include,include,include,include,include,include
243747,23,f,3.75,4,3.375,NA,NA,NA,NA,NA,NA,NA,6,5,3,5,5,4,3,3,5,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,3,2,4,3,2,1,NA,NA,NA,NA,NA,NA,include,include,740.65,703.4375,272.58346947152114,-0.13651781625696802,include,include,include,include,include,include
245717,24,m,2.25,4.222222222222222,3.5,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,2,3,3,3,3,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,5,4,4,3,3,4,3,NA,NA,NA,NA,NA,NA,include,include,824.25,785.0499999999998,281.771651493606,-0.13911974392104415,include,include,include,include,include,include
249730,37,f,NA,NA,NA,4.111111111111111,2.4,4,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,3,4,1,include,include,1140.175,1047.6,692.9119033559209,-0.13360284265812072,include,include,include,include,include,include
251939,28,m,3.375,4.111111111111111,3.25,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,6,4,4,5,3,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,4,3,3,3,1,3,NA,NA,NA,NA,NA,NA,include,include,766.625,783.675,391.9460924996833,0.0435008801625283,include,include,include,include,include,include
253188,32,f,NA,NA,NA,5,4.9,5,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,6,5,3,include,include,931.525,810.5250000000001,348.74100803644313,-0.3469623508897912,include,include,include,include,include,include
253519,22,m,NA,NA,NA,5.333333333333333,4.6,6,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,4,2,1,include,include,732.825,769.2999999999998,347.4975677524053,0.10496476345408125,include,include,include,include,include,include
254504,24,m,3.75,3.5555555555555554,2.375,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,3,4,6,4,4,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,4,1,3,2,NA,NA,NA,NA,NA,NA,include,include,956.0499999999998,791.2625,461.63604376690716,-0.3569641110675612,include,include,include,include,include,include
285703,33,m,5.125,2.5555555555555554,5.375,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,5,6,4,6,2,6,6,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,1,1,2,1,6,6,5,NA,NA,NA,NA,NA,NA,include,include,1671.7750000000003,1245.1375,817.5358615216518,-0.5218578414479755,include,include,include,include,include,include
287257,21,f,4.75,5,3.75,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,5,6,5,5,5,5,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,5,3,6,5,3,3,2,NA,NA,NA,NA,NA,NA,include,include,741.325,672.2875,281.8928695727623,-0.244906868714464,include,include,include,include,include,include
289486,56,f,NA,NA,NA,5.888888888888889,4.4,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,2,6,include,include,679.4,616.0625,237.12797177895314,-0.2671026092992613,include,include,include,include,include,include
289105,32,m,NA,NA,NA,3.7777777777777777,5,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,4,5,include,include,1035.85,794.325,583.2235302819236,-0.41412080867733414,include,include,include,include,include,include
291619,22,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,NA,4,6,4,5,4,5,1,3,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,3,6,3,3,3,1,NA,NA,NA,NA,NA,NA,include,exclude,836.125,745.7249999999999,387.109940213791,-0.23352539061661517,include,include,include,exclude,include,exclude
293517,21,f,NA,NA,NA,4,4.5,3,4,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,5,include,include,1273.35,1145.7625,433.3475209108178,-0.29442305273106006,include,include,include,include,include,include
296088,49,m,NA,NA,NA,5.222222222222222,4.2,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,6,4,4,include,include,878.275,808.675,260.2744370141355,-0.2674100491713677,include,include,include,include,include,include
310835,30,m,NA,NA,NA,2.7777777777777777,4.3,3,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,5,6,include,include,1299.625,904.3499999999999,686.8732565169555,-0.5754700685311115,include,include,include,include,include,include
310981,52,m,NA,NA,NA,4.777777777777778,4.7,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,2,5,include,include,1775.3000000000004,1075.75,1006.9907056336186,-0.6946936015261725,include,include,include,include,include,include
311817,48,f,5,5.333333333333333,1.25,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,6,5,6,5,6,5,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,6,5,3,6,6,1,1,1,NA,NA,NA,NA,NA,NA,include,include,979.55,806.275,403.4361014524878,-0.4294980032182528,include,include,include,include,include,include
316021,34,m,NA,NA,NA,4.222222222222222,4.5,6,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,2,6,1,include,include,691.125,654.9875,229.03215925277573,-0.15778351877701247,include,include,include,include,include,include
314655,19,f,4.125,5.444444444444445,3.125,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,5,5,6,4,1,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,6,6,2,2,2,3,NA,NA,NA,NA,NA,NA,include,include,891.0250000000001,714.1749999999998,349.3762403955672,-0.5061878271967463,include,include,include,include,include,include
329537,17,m,NA,NA,NA,2.888888888888889,4.1,3,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,4,3,include,include,1112.2249999999997,845.9000000000001,735.7697182959793,-0.36196787306876443,include,include,include,include,include,include
337414,31,f,NA,NA,NA,3.6666666666666665,3.2,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,include,include,762.675,718.6375,262.9103430057169,-0.16750006673964257,include,include,include,include,include,include
339121,29,m,NA,NA,NA,5.333333333333333,4.6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,5,include,include,744.975,666.775,244.70939705209977,-0.31956271782791773,include,include,include,include,include,include
343954,21,f,5,5,2.625,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,6,4,5,6,6,4,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,6,3,3,4,5,2,1,NA,NA,NA,NA,NA,NA,include,include,979.025,897.8,373.40120947218975,-0.21752741539003911,include,include,include,include,include,include
347838,21,f,NA,NA,NA,NA,NA,5,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,NA,include,exclude,892.65,616.075,350.83841317173744,-0.7883258777157188,include,include,include,exclude,include,exclude
348671,26,m,2.25,2.888888888888889,4.125,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,2,2,3,2,3,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,5,4,3,NA,NA,NA,NA,NA,NA,include,include,813.875,734.0375,227.15702376413137,-0.35146392868265125,include,include,include,include,include,include
354340,32,f,3.75,4.444444444444445,2.375,NA,NA,NA,NA,NA,NA,NA,5,6,4,4,5,4,4,3,4,4,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,1,5,5,3,2,3,NA,NA,NA,NA,NA,NA,include,include,893.875,736.9,480.27183238577845,-0.32684615131438693,include,include,include,include,include,include
357132,51,f,NA,NA,NA,5.444444444444445,5.5,4,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,5,5,include,include,1426.325,1178.5625,396.14556042194494,-0.6254329841185189,include,include,include,include,include,include
368445,25,m,NA,NA,NA,NA,NA,6,1,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,5,NA,3,include,exclude,668.45,656.75,237.85687561496073,-0.049189244455307805,include,include,include,exclude,include,exclude
361490,41,f,4.375,4.111111111111111,3,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,6,6,6,6,5,3,3,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,2,3,3,3,2,2,NA,NA,NA,NA,NA,NA,include,include,604.075,627.275,175.79093273207332,0.13197495251566554,include,include,include,include,include,include
365480,21,f,NA,NA,NA,5.444444444444445,5,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,2,3,4,include,include,833.375,721.1500000000001,369.66232139987585,-0.3035878787294701,include,include,include,include,include,include
365691,32,f,NA,NA,NA,4.444444444444445,4.9,5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,5,5,include,include,717.275,667.175,248.31859998969134,-0.20175693646017603,include,include,include,include,include,include
365766,20,f,3.75,3.3333333333333335,2.5,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,4,4,5,5,4,4,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,2,3,1,2,NA,NA,NA,NA,NA,NA,include,include,908.8,678.2,295.5964127246579,-0.7801177215732965,include,include,include,include,include,include
366258,25,m,NA,NA,NA,5.333333333333333,4.9,5,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,6,6,3,include,include,1208.3499999999997,855.3000000000001,542.1814168666409,-0.6511658072686001,include,include,include,include,include,include
372836,26,f,NA,NA,NA,4.111111111111111,5.5,5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,4,6,include,include,1097.1500000000003,909.2000000000002,591.9207681762141,-0.3175256049540192,include,include,include,include,include,include
388154,19,f,NA,NA,NA,4.444444444444445,4.7,5,5,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,4,3,5,include,include,750.9,531.7,273.20410486148495,-0.8023305510403469,include,include,include,include,include,include
491808,22,f,2.875,5.444444444444445,3.125,NA,NA,NA,NA,NA,NA,NA,5,6,5,6,6,2,5,3,2,3,2,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,5,5,6,5,2,2,4,NA,NA,NA,NA,NA,NA,include,include,686.8,741.25,290.0884362402889,0.1877013806744695,include,include,include,include,include,include
418670,17,m,NA,NA,NA,4,5,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,5,4,include,include,585.55,577.3375,147.3170229542426,-0.05574712165172399,include,include,include,include,include,include
394075,21,f,NA,NA,NA,5,5.1,5,5,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,6,3,4,include,include,732.05,765.85,342.8331682210652,0.09859022735573006,include,include,include,include,include,include
401021,20,f,3.375,4.333333333333333,4.5,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,4,4,3,5,2,4,5,5,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,5,6,2,4,NA,NA,NA,NA,NA,NA,include,include,684,760.0125,318.4896648191878,0.23866551538855643,include,include,include,include,include,include
419450,52,m,NA,NA,NA,4.777777777777778,5.9,4,6,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,3,5,6,include,include,765.7,677.75,300.5025967346334,-0.29267633942500193,include,include,include,include,include,include
421489,18,f,NA,NA,NA,3.888888888888889,5.7,5,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,5,6,include,include,682.325,597.95,260.1475070420013,-0.32433522411720633,include,include,include,include,include,include
429123,43,f,3.875,5,3.625,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,5,4,3,5,5,5,4,5,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,6,3,6,2,2,2,2,NA,NA,NA,NA,NA,NA,include,include,4908.100000000001,2793.899999999999,3691.4607113923757,-0.5727272116090193,include,include,include,include,include,include
429559,19,m,NA,NA,NA,5.222222222222222,4.5,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,3,5,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,5,3,4,include,include,2148.25,1199.1875,1476.1283842039838,-0.6429403500101321,include,include,include,include,include,include
433267,34,f,2,4.111111111111111,2.5,NA,NA,NA,NA,NA,NA,NA,4,4,2,5,5,1,4,2,3,1,2,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,3,4,5,3,1,2,NA,NA,NA,NA,NA,NA,include,include,662.8,593.575,220.3706827486952,-0.31412980681709934,include,include,include,include,include,include
435868,31,f,NA,NA,NA,4.555555555555555,5.6,4,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,6,6,include,include,559.375,586.0375,170.40873503077805,0.15646204987780954,include,include,include,include,include,include
442495,37,f,NA,NA,NA,5.111111111111111,4.3,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,3,include,include,603.1,580.175,129.1603123041664,-0.17749260272778514,include,include,include,include,include,include
439554,37,m,3.25,3.7777777777777777,2.875,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,5,4,3,4,4,3,1,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,4,4,3,2,2,NA,NA,NA,NA,NA,NA,include,include,700.425,648.5499999999998,329.0822735838484,-0.15763535189865716,include,include,include,include,include,include
440148,35,f,3.5,4.555555555555555,2,NA,NA,NA,NA,NA,NA,NA,4,6,5,4,4,3,5,4,4,3,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,6,4,3,2,2,NA,NA,NA,NA,NA,NA,include,include,802.725,754.05,171.25988715860998,-0.2842171672980281,include,include,include,include,include,include
446741,38,m,3.625,3.5555555555555554,2.875,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,3,3,4,4,2,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,2,4,3,2,1,2,NA,NA,NA,NA,NA,NA,include,include,1224.9,1130.4875,482.63101405555284,-0.19562045796984953,include,include,include,include,include,include
585230,24,f,NA,NA,NA,4.222222222222222,4.4,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,3,5,include,include,648.2,570.4125,142.39998677139337,-0.5462605844541181,include,include,include,include,include,include
448449,60,f,NA,NA,NA,5.222222222222222,4.5,4,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,6,4,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,6,2,include,include,783.525,830.75,350.79021229107246,0.13462462276688184,include,include,include,include,include,include
448828,30,f,NA,NA,NA,4.888888888888889,4.1,4,4,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,4,include,include,859.05,861.2874999999999,416.04116424957266,0.005378073595279467,include,include,include,include,include,include
449383,42,m,3.5,5,3,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,3,5,5,5,4,1,5,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,5,3,5,5,2,1,1,NA,NA,NA,NA,NA,NA,include,include,1133.225,950.275,304.5834321772324,-0.6006564398208769,include,include,include,include,include,include
